order_id,customer_id,product_id,product_name,category,unit_price,quantity,order_date,customer_age,customer_gender,country,sales
1,150,9,Tablet,Electronics,611,1,2022-11-14,62,Female,Germany,611
2,176,36,Smartphone,Electronics,751,4,2022-10-06,23,Male,Canada,3004
3,37,22,Jacket,Clothing,821,4,2022-05-07,54,Male,UK,3284
4,143,42,Shoes,Clothing,395,4,2022-05-09,50,Male,Germany,1580
5,163,26,Jacket,Clothing,301,1,2022-02-27,39,Male,Australia,301
6,199,12,Tablet,Electronics,130,1,2022-05-02,38,Female,USA,130
7,160,17,Camera,Electronics,251,1,2022-01-01,23,Female,Australia,251
8,11,14,Laptop,Electronics,776,3,2022-08-27,23,Female,Australia,2328
9,138,14,T-shirt,Clothing,141,1,2022-10-17,21,Female,USA,141
10,78,34,Smartphone,Electronics,826,1,2022-04-06,47,Male,Australia,826
11,77,20,Watch,Accessories,928,1,2022-05-06,28,Female,Germany,928
12,185,11,Watch,Accessories,155,3,2022-04-28,47,Male,Germany,465
13,153,16,Watch,Accessories,776,1,2022-02-17,48,Male,Germany,776
14,2,31,Headphones,Accessories,611,4,2022-03-30,41,Male,USA,2444
15,64,6,Watch,Accessories,912,1,2022-08-25,26,Male,Australia,912
16,35,19,T-shirt,Clothing,751,4,2022-09-29,20,Male,USA,3004
17,7,37,Laptop,Electronics,779,4,2022-07-08,48,Female,Germany,3116
18,85,4,Watch,Accessories,477,4,2022-07-11,57,Female,Australia,1908
19,146,47,Jacket,Clothing,84,3,2022-03-10,54,Female,Australia,252
20,67,4,Jacket,Clothing,141,3,2022-10-05,53,Female,France,423
21,42,20,Headphones,Accessories,141,3,2022-12-15,41,Male,France,423
22,118,10,T-shirt,Clothing,51,1,2022-09-04,48,Female,Canada,51
23,125,24,Laptop,Electronics,614,4,2022-03-17,23,Male,UK,2456
24,167,35,Smartphone,Electronics,611,3,2022-06-03,19,Female,France,1833
25,169,26,Tablet,Electronics,841,3,2022-05-24,37,Male,USA,2523
26,24,37,Laptop,Electronics,992,1,2022-03-27,45,Male,France,992
27,188,38,Tablet,Electronics,102,3,2022-07-04,28,Female,Canada,306
28,46,21,Camera,Electronics,928,1,2022-10-12,21,Male,Australia,928
29,19,40,Tablet,Electronics,798,2,2022-08-08,32,Male,Canada,1596
30,68,39,Shoes,Clothing,826,3,2022-03-10,23,Female,Australia,2478
31,102,21,Jacket,Clothing,611,2,2022-02-16,47,Male,Australia,1222
32,42,10,T-shirt,Clothing,614,1,2022-04-04,55,Female,UK,614
33,32,38,Sunglasses,Accessories,526,4,2022-08-26,19,Female,France,2104
34,167,46,Headphones,Accessories,130,3,2022-07-23,32,Female,USA,390
35,109,4,Shoes,Clothing,320,1,2022-08-06,28,Male,USA,320
36,36,45,Tablet,Electronics,251,4,2022-12-07,25,Male,Germany,1004
37,97,20,Watch,Accessories,251,4,2022-02-08,43,Male,Australia,1004
38,164,17,T-shirt,Clothing,947,2,2022-04-10,62,Female,USA,1894
39,131,7,Shoes,Clothing,921,1,2022-10-16,61,Male,UK,921
40,73,4,Headphones,Accessories,841,4,2022-09-11,22,Female,Australia,3364
41,136,29,Jacket,Clothing,437,3,2022-08-10,23,Female,UK,1311
42,97,14,T-shirt,Clothing,774,3,2022-12-23,43,Male,USA,2322
